instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
6	m4.2xlarge	48	192000	9630	100	100000000	166	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9630	100	100000000	168	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9630	100	100000000	168	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9630	100	100000000	168	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	9630	100	100000000	170	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	11556	100	120000000	192	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	11556	100	120000000	192	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	11556	100	120000000	196	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	11556	100	120000000	198	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	11556	100	120000000	210	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	13482	100	140000000	220	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	13482	100	140000000	222	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	13482	100	140000000	222	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	13482	100	140000000	226	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	13482	100	140000000	226	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	15408	100	160000000	244	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	15408	100	160000000	246	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	15408	100	160000000	248	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	15408	100	160000000	250	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	15408	100	160000000	266	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	17334	100	180000000	270	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	17334	100	180000000	272	0.73813508679461	0.917837907061713	0.817114731721182
